"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","56","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1377,875,2164
"258","0 Muthithi Rd","57","Getathuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1192,835,1700
"258","0 Muthithi Rd","58","Hekima Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2729,1715,4342
"258","0 Muthithi Rd","59","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",607,366,1005
"258","0 Muthithi Rd","61","Kinanda Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1343,915,1970
"258","0 Muthithi Rd","62","Lucky Twin Plaza Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1814,1196,2749
"258","0 Muthithi Rd","63","Murishu Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2267,1514,3394
"258","0 Muthithi Rd","64","Nziu Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1561,968,2515
"258","0 Muthithi Rd","65","TRM Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",1024,663,1580
"258","0 Muthithi Rd","66","Muramati Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1354,869,2107
"258","0 Muthithi Rd","67","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1597,1041,2447
